Country,EducacionTerciaria_2015,EducacionEscolar_2011,Desempleo_2021,IDH_2019
Afganistán,,0.663450002670288,5,0.511
Albania,1.29877996444702,1.00029003620148,3,0.795
Alemania,0.980069994926453,0.96000999212265,1,0.947
Andorra,,,,0.868
Angola,0.785409986972809,0.630320012569427,2,0.581
Antigua y Barbuda,,0.964439988136292,,0.778
Arabia Saudita,1.01229000091553,,5,0.854
Argelia,1.36090004444122,0.994899988174438,5,0.748
Argentina,1.38714003562927,1.04019999504089,3,0.845
Armenia,1.16085994243622,1.00771999359131,5,0.776
Australia,1.30770003795624,,1,0.944
Austria,1.16176998615265,0.970080018043518,2,0.922
Azerbaiyán,1.13967001438141,,2,0.756
Bahamas,,,3,0.814
Bangladés,,,,0.632
Barbados,,1.01800000667572,2,0.814
Baréin,,,,0.852
Bélgica,1.23500001430511,1.0819000005722,2,0.931
Belice,1.3780699968338,0.997409999370575,3,0.716
Benín,,,,0.545
Bielorrusia,,,,0.823
Birmania  Myanmar,,,,0.583
Bolivia,,0.997250020503998,3,0.718
Bosnia y Herzegovina,,,4,0.78
Botsuana,,,,0.735
Brasil,1.25352001190186,1.02467000484467,4,0.765
Brunéi,,,,0.838
Bulgaria,1.21633005142212,0.966310024261475,2,0.816
Burkina Faso,0.522719979286194,0.89341002702713,1,0.452
Burundi,0.328480005264282,0.95414000749588,1,0.433
Bután,,,,0.654
Cabo Verde,1.31614995002747,1.0309100151062,4,0.665
Camboya,0.82081001996994,,1,0.594
Camerún,0.80333000421524,0.861349999904633,1,0.563
Canadá,1.25442004203796,0.992229998111725,2,0.929
Catar,,,,0.848
Chad,0.28999000787735,0.678300023078918,1,0.398
Chequia,,,,0.9
Chile,1.10236001014709,0.99864000082016,3,0.851
China,1.15626001358032,0.992420017719269,1,0.761
Chipre,1.26347005367279,1.00434994697571,2,0.887
Colombia,1.14204001426697,1.02827000617981,5,0.767
Comoras,,,3,0.554
Corea del Sur,,,,0.916
Costa de Marfil,,,,0.538
Costa Rica,1.23505997657776,1.00841999053955,6,0.81
Croacia,1.26145994663239,1.02679002285004,2,0.851
Cuba,1.29034996032715,0.989809989929199,1,0.783
Dinamarca,1.28656005859375,1.00557994842529,1,0.94
Dominica,,1.02918994426727,,0.742
Ecuador,1.14236998558044,1.02350997924805,2,0.759
Egipto,,,,0.707
El Salvador,1.09684002399445,0.962909996509552,2,0.673
Emiratos Árabes Unidos,,,2,0.89
Eritrea,0.651009976863861,0.814059972763062,2,0.459
Eslovaquia,,,,0.86
Eslovenia,1.31860995292664,0.9966099858284,2,0.917
España,1.15980994701385,1.00387001037598,4,0.904
Estado de Palestina,,,,0.708
Estados Federados de Micronesia,,,,0.62
Estados Unidos,1.26267004013062,,2,0.926
Estonia,1.33995997905731,0.991479992866516,2,0.892
Etiopía,,0.912249982357025,1,0.485
Filipinas,,,1,0.718
Finlandia,1.16670000553131,1.02109003067017,2,0.938
Fiyi,,,,0.743
Francia,1.19532001018524,1.00325000286102,2,0.901
Gabón,,,7,0.703
Gambia,,,4,0.496
Georgia,1.19467997550964,,3,0.812
Ghana,0.698580026626587,0.958329975605011,1,0.611
Granada,1.13345003128052,,,0.779
Grecia,,0.980080008506775,5,0.888
Guatemala,1.14927005767822,0.966910004615784,1,0.663
Guinea,,0.779540002346039,2,0.477
Guinea Ecuatorial,,,3,0.592
GuineaBisáu,,,,0.48
Guyana,,0.995859980583191,5,0.682
Haiti,,,,0.51
Honduras,1.26924002170563,1.06903004646301,3,0.634
Hong Kong,,,,0.949
Hungría,1.20489001274109,0.985989987850189,1,0.854
India,1.00350999832153,0.998529970645905,1,0.645
Indonesia,1.10088002681732,1.02225995063782,1,0.718
Irak,,,,0.674
Irán,,,,0.783
Irlanda,1.08115005493164,1.01397001743317,2,0.955
Islandia,1.44210994243622,1.00464999675751,2,0.949
Islas Marshall,,,,0.704
Islas Salomón,,0.958140015602112,1,0.567
Israel,1.27692997455597,1.01201999187469,1,0.919
Italia,1.27128994464874,0.987070024013519,3,0.892
Jamaica,1.42692995071411,,3,0.734
Japón,,,1,0.919
Jordania,1.08047997951508,1.00462996959686,7,0.729
Kazajistán,,,,0.825
Kenia,,,,0.601
Kirguistán,1.23405003547668,0.99905002117157,3,0.697
Kiribati,,,,0.63
Kuwait,1.51760995388031,0.987240016460419,2,0.806
Laos,,,,0.613
Lesoto,,,,0.527
Letonia,1.35910999774933,0.977479994297028,2,0.866
Líbano,,,5,0.744
Liberia,,0.88358998298645,1,0.48
Libia,,,7,0.724
Liechtenstein,0.488099992275238,0.892910003662109,,0.919
Lituania,1.30420994758606,0.977479994297028,2,0.882
Luxemburgo,1.09799003601074,1.02648997306824,2,0.916
Macedonia del Norte,1.20051002502441,,4,0.774
Madagascar,0.904150009155273,0.971119999885559,1,0.528
Malasia,1.22890996932983,1.0424599647522,1,0.81
Malaui,,,,0.483
Maldivas,,,2,0.74
Malí,0.417989999055862,0.818239986896515,2,0.434
Malta,1.2755800485611,1.00488996505737,1,0.895
